SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016
010,0,0,00,United States,308758105,309348193,311663358,313998379,316204908,318563456,320896618,323127513,590088,2315165,2335021,2206529,2358548,2333162,2230895,0.1911166024,0.7484010097,0.7492125526,0.7027198698,0.7458922807,0.7324010197,0.6952067659,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318353,55388056,55632766,55829059,55988771,56116791,56184737,56209510,69703,244710,196293,159712,128020,67946,24773,0.1260033899,0.4418100538,0.3528370313,0.2860732437,0.2286529919,0.1210796248,0.0440920459,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4
020,2,0,00,Midwest Region,66929825,66978602,67153331,67332320,67543948,67726368,67838387,67941429,48777,174729,178989,211628,182420,112019,103042,0.0728778239,0.260872868,0.2665377835,0.31430374,0.2700760104,0.1653993907,0.1518933521,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,3
020,3,0,00,South Region,114563005,114863114,116061801,117299171,118424320,119696311,121039206,122319574,300109,1198687,1237370,1125149,1271991,1342895,1280368,0.2619597836,1.0435787071,1.0661302766,0.9592130877,1.0740960978,1.1219184524,1.0578126231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
020,4,0,00,West Region,71946922,72118421,72815460,73537829,74247869,75023986,75834288,76657000,171499,697039,722369,710040,776117,810302,822712,0.2383687797,0.9665200518,0.9920544346,0.9655438699,1.0453054215,1.08005725,1.0848812875,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
040,3,6,01,Alabama,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300,5361,14426,16042,13519,13735,10661,9425,0.1121517381,0.3014528078,0.3342140428,0.2807124644,0.2843992075,0.2201224228,0.1941747573,23,23,23,23,23,23,24,24,30,31,26,32,30,31,31,38,39,36,37,34,35,34
040,4,9,02,Alaska,710249,714031,722713,731089,736879,736705,737709,741894,3782,8682,8376,5790,-174,1004,4185,0.5324893101,1.2159135948,1.158966284,0.7919692404,-0.023613103,0.1362825011,0.567296861,47,47,47,47,47,48,48,48,33,39,41,43,47,44,37,2,7,11,21,46,38,21
040,4,8,04,Arizona,6392301,6408312,6467163,6549634,6624617,6719993,6817565,6931071,16011,58851,82471,74983,95376,97572,113506,0.2504731864,0.9183541625,1.2752268653,1.1448425973,1.439720968,1.4519657982,1.6649052851,16,16,16,15,15,15,14,14,11,10,7,6,5,8,5,16,16,8,9,7,9,8
040,3,7,05,Arkansas,2916025,2921995,2939493,2950685,2958663,2966912,2977853,2988248,5970,17498,11192,7978,8249,10941,10395,0.2047307551,0.5988374381,0.3807459314,0.2703778953,0.2788083672,0.368767257,0.3490770028,32,32,32,32,32,32,33,33,26,26,34,40,38,29,30,25,30,32,38,35,30,28
040,4,9,06,California,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017,78163,344176,334213,324129,345607,313130,256077,0.2098080872,0.9219160101,0.8870510736,0.8527225513,0.9015395067,0.8095228616,0.6567097349,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,23,15,19,20,17,17,20
040,4,8,08,Colorado,5029324,5048644,5118360,5189867,5267603,5349648,5448819,5540545,19320,69716,71507,77736,82045,99171,91726,0.3841470544,1.3808856398,1.3970685923,1.4978418522,1.5575395488,1.8537855201,1.683410662,22,22,22,22,22,22,22,21,8,9,10,5,8,7,8,5,5,6,5,5,2,7
040,1,1,09,Connecticut,3574114,3579899,3589893,3593795,3596003,3591873,3584730,3576452,5785,9994,3902,2208,-4130,-7143,-8278,0.1618582955,0.2791698872,0.1086940474,0.0614392307,-0.114849737,-0.198865606,-0.230923947,29,29,29,29,29,29,29,29,27,38,46,45,49,49,49,30,40,45,48,50,49,48
040,3,5,10,Delaware,897936,899816,907924,916993,925395,934948,944076,952065,1880,8108,9069,8402,9553,9128,7989,0.2093690419,0.9010731083,0.9988721523,0.9162556312,1.03231593,0.976310982,0.8462242447,45,45,45,45,45,45,45,45,43,40,39,39,35,35,34,24,17,17,17,13,15,17
040,3,5,11,District of Columbia,601766,605183,620477,635327,649165,659005,670377,681170,3417,15294,14850,13838,9840,11372,10793,0.5678286909,2.5271694677,2.393319978,2.1780909673,1.5157933653,1.7256318237,1.6099896029,50,50,50,49,49,49,49,49,36,27,29,31,34,28,27,1,1,2,2,6,6,9
040,3,5,12,Florida,18804592,18849098,19096952,19344156,19582022,19888741,20244914,20612439,44506,247854,247204,237866,306719,356173,367525,0.2366762331,1.3149382533,1.2944683529,1.229653028,1.5663295649,1.7908272826,1.8153942269,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,18,6,7,8,4,5,4
040,3,5,13,Georgia,9688680,9713521,9811610,9914668,9984938,10087231,10199398,10310371,24841,98089,103058,70270,102293,112167,110973,0.2563919956,1.0098191994,1.0503678805,0.7087478875,1.0244730613,1.111970173,1.0880348036,9,9,9,8,8,8,8,8,4,5,4,10,4,4,7,13,11,13,24,14,13,13
040,4,9,15,Hawaii,1360301,1363945,1377864,1391820,1406481,1416349,1425157,1428557,3644,13919,13956,14661,9868,8808,3400,0.2678818879,1.0204956945,1.0128720977,1.0533689701,0.7016091934,0.6218806241,0.2385702067,40,40,40,40,40,40,40,40,35,32,31,30,33,36,38,11,10,15,11,20,22,33
